OMRÅDE;KØN;ALDER;TID;INDHOLD
000;1;0;2008K1;32976
000;1;0;2009K1;33656
000;1;0;2010K1;32435
000;1;0;2011K1;32628
000;1;0;2012K1;30184
000;1;0;2013K1;29991
000;1;0;2014K1;28751
000;1;0;2015K1;29375
000;1;0;2016K1;30049
000;1;0;2017K1;31971
000;1;0;2018K1;31624
000;1;0;2019K1;31754
000;1;0;2020K1;31649
000;1;1;2008K1;33797
000;1;1;2009K1;33212
000;1;1;2010K1;33984
000;1;1;2011K1;32714
000;1;1;2012K1;32854
000;1;1;2013K1;30402
000;1;1;2014K1;30273
000;1;1;2015K1;29064
000;1;1;2016K1;29750
000;1;1;2017K1;30364
000;1;1;2018K1;32226
000;1;1;2019K1;31799
000;1;1;2020K1;31880
000;1;2;2008K1;33129
000;1;2;2009K1;33943
000;1;2;2010K1;33380
000;1;2;2011K1;34125
000;1;2;2012K1;32813
000;1;2;2013K1;33032
000;1;2;2014K1;30596
000;1;2;2015K1;30485
000;1;2;2016K1;29459
000;1;2;2017K1;30069
000;1;2;2018K1;30524
000;1;2;2019K1;32318
000;1;2;2020K1;31833
000;1;3;2008K1;33280
000;1;3;2009K1;33253
000;1;3;2010K1;34034
000;1;3;2011K1;33490
000;1;3;2012K1;34207
000;1;3;2013K1;32921
000;1;3;2014K1;33151
000;1;3;2015K1;30753
000;1;3;2016K1;30834
000;1;3;2017K1;29675
000;1;3;2018K1;30231
000;1;3;2019K1;30563
000;1;3;2020K1;32347
000;1;4;2008K1;33398
000;1;4;2009K1;33421
000;1;4;2010K1;33339
000;1;4;2011K1;34127
000;1;4;2012K1;33582
000;1;4;2013K1;34325
000;1;4;2014K1;33021
000;1;4;2015K1;33324
000;1;4;2016K1;31038
000;1;4;2017K1;31101
000;1;4;2018K1;29754
000;1;4;2019K1;30260
000;1;4;2020K1;30577
000;1;5;2008K1;33269
000;1;5;2009K1;33513
000;1;5;2010K1;33465
000;1;5;2011K1;33361
000;1;5;2012K1;34137
000;1;5;2013K1;33629
000;1;5;2014K1;34421
000;1;5;2015K1;33171
000;1;5;2016K1;33643
000;1;5;2017K1;31315
000;1;5;2018K1;31183
000;1;5;2019K1;29828
000;1;5;2020K1;30308
000;1;6;2008K1;33615
000;1;6;2009K1;33328
000;1;6;2010K1;33553
000;1;6;2011K1;33556
000;1;6;2012K1;33419
000;1;6;2013K1;34197
000;1;6;2014K1;33742
000;1;6;2015K1;34598
000;1;6;2016K1;33495
000;1;6;2017K1;33846
000;1;6;2018K1;31402
000;1;6;2019K1;31250
000;1;6;2020K1;29872
000;1;7;2008K1;34593
000;1;7;2009K1;33661
000;1;7;2010K1;33373
000;1;7;2011K1;33579
000;1;7;2012K1;33577
000;1;7;2013K1;33446
000;1;7;2014K1;34266
000;1;7;2015K1;33877
000;1;7;2016K1;34918
000;1;7;2017K1;33738
000;1;7;2018K1;33940
000;1;7;2019K1;31439
000;1;7;2020K1;31307
000;1;8;2008K1;34174
000;1;8;2009K1;34634
000;1;8;2010K1;33671
000;1;8;2011K1;33427
000;1;8;2012K1;33649
000;1;8;2013K1;33628
000;1;8;2014K1;33567
000;1;8;2015K1;34436
000;1;8;2016K1;34180
000;1;8;2017K1;35147
000;1;8;2018K1;33872
000;1;8;2019K1;34033
000;1;8;2020K1;31510
000;1;9;2008K1;34534
000;1;9;2009K1;34232
000;1;9;2010K1;34689
000;1;9;2011K1;33693
000;1;9;2012K1;33447
000;1;9;2013K1;33695
000;1;9;2014K1;33739
000;1;9;2015K1;33709
000;1;9;2016K1;34688
000;1;9;2017K1;34430
000;1;9;2018K1;35294
000;1;9;2019K1;33963
000;1;9;2020K1;34130
000;1;10;2008K1;35332
000;1;10;2009K1;34601
000;1;10;2010K1;34294
000;1;10;2011K1;34729
000;1;10;2012K1;33741
000;1;10;2013K1;33498
000;1;10;2014K1;33751
000;1;10;2015K1;33886
000;1;10;2016K1;33963
000;1;10;2017K1;34893
000;1;10;2018K1;34533
000;1;10;2019K1;35361
000;1;10;2020K1;34062
000;1;11;2008K1;35555
000;1;11;2009K1;35378
000;1;11;2010K1;34644
000;1;11;2011K1;34343
000;1;11;2012K1;34791
000;1;11;2013K1;33797
000;1;11;2014K1;33562
000;1;11;2015K1;33909
000;1;11;2016K1;34105
000;1;11;2017K1;34129
000;1;11;2018K1;35009
000;1;11;2019K1;34617
000;1;11;2020K1;35382
000;1;12;2008K1;36924
000;1;12;2009K1;35631
000;1;12;2010K1;35439
000;1;12;2011K1;34687
000;1;12;2012K1;34400
000;1;12;2013K1;34841
000;1;12;2014K1;33874
000;1;12;2015K1;33665
000;1;12;2016K1;34130
000;1;12;2017K1;34281
000;1;12;2018K1;34244
000;1;12;2019K1;35124
000;1;12;2020K1;34682
000;1;13;2008K1;36875
000;1;13;2009K1;36995
000;1;13;2010K1;35681
000;1;13;2011K1;35511
000;1;13;2012K1;34750
000;1;13;2013K1;34455
000;1;13;2014K1;34897
000;1;13;2015K1;33998
000;1;13;2016K1;33870
000;1;13;2017K1;34292
000;1;13;2018K1;34391
000;1;13;2019K1;34310
000;1;13;2020K1;35201
000;1;14;2008K1;35822
000;1;14;2009K1;36956
000;1;14;2010K1;37062
000;1;14;2011K1;35737
000;1;14;2012K1;35586
000;1;14;2013K1;34863
000;1;14;2014K1;34544
000;1;14;2015K1;35052
000;1;14;2016K1;34227
000;1;14;2017K1;34066
000;1;14;2018K1;34394
000;1;14;2019K1;34491
000;1;14;2020K1;34417
000;1;15;2008K1;36271
000;1;15;2009K1;35943
000;1;15;2010K1;37064
000;1;15;2011K1;37173
000;1;15;2012K1;35876
000;1;15;2013K1;35710
000;1;15;2014K1;34988
000;1;15;2015K1;34743
000;1;15;2016K1;35333
000;1;15;2017K1;34489
000;1;15;2018K1;34265
000;1;15;2019K1;34562
000;1;15;2020K1;34643
000;1;16;2008K1;34634
000;1;16;2009K1;36487
000;1;16;2010K1;36169
000;1;16;2011K1;37315
000;1;16;2012K1;37383
000;1;16;2013K1;36099
000;1;16;2014K1;35966
000;1;16;2015K1;35305
000;1;16;2016K1;35107
000;1;16;2017K1;35704
000;1;16;2018K1;34837
000;1;16;2019K1;34497
000;1;16;2020K1;34775
000;1;17;2008K1;34652
000;1;17;2009K1;34853
000;1;17;2010K1;36576
000;1;17;2011K1;36228
000;1;17;2012K1;37431
000;1;17;2013K1;37455
000;1;17;2014K1;36175
000;1;17;2015K1;36085
000;1;17;2016K1;35572
000;1;17;2017K1;35408
000;1;17;2018K1;35837
000;1;17;2019K1;34823
000;1;17;2020K1;34560
000;1;18;2008K1;33490
000;1;18;2009K1;34695
000;1;18;2010K1;34915
000;1;18;2011K1;36686
000;1;18;2012K1;36329
000;1;18;2013K1;37572
000;1;18;2014K1;37683
000;1;18;2015K1;36433
000;1;18;2016K1;36543
000;1;18;2017K1;35960
000;1;18;2018K1;35665
000;1;18;2019K1;36072
000;1;18;2020K1;35025
000;1;19;2008K1;32550
000;1;19;2009K1;33891
000;1;19;2010K1;35233
000;1;19;2011K1;35425
000;1;19;2012K1;37246
000;1;19;2013K1;36981
000;1;19;2014K1;38218
000;1;19;2015K1;38523
