TID,CIVILSTAND,KØN,OMRÅDE,INDHOLD
2008K1,I alt,I alt,Hele landet,5475791
2008K1,I alt,I alt,Region Hovedstaden,1645825
2008K1,I alt,I alt,København,509861
2008K1,I alt,I alt,Frederiksberg,93444
2008K1,I alt,I alt,Dragør,13261
2008K1,I alt,I alt,Tårnby,40016
2008K1,I alt,I alt,Albertslund,27602
2008K1,I alt,I alt,Ballerup,47116
2008K1,I alt,I alt,Brøndby,33831
2008K1,I alt,I alt,Gentofte,68913
2008K1,I alt,I alt,Gladsaxe,62562
2008K1,I alt,I alt,Glostrup,20673
2008K1,I alt,I alt,Herlev,26567
2008K1,I alt,I alt,Hvidovre,49380
2008K1,I alt,I alt,Høje-Taastrup,47158
2008K1,I alt,I alt,Ishøj,20687
2008K1,I alt,I alt,Lyngby-Taarbæk,51449
2008K1,I alt,I alt,Rødovre,36144
2008K1,I alt,I alt,Vallensbæk,12399
2008K1,I alt,I alt,Allerød,23493
2008K1,I alt,I alt,Egedal,40533
2008K1,I alt,I alt,Fredensborg,39240
2008K1,I alt,I alt,Frederikssund,44102
2008K1,I alt,I alt,Furesø,37667
2008K1,I alt,I alt,Gribskov,40512
2008K1,I alt,I alt,Halsnæs,30824
2008K1,I alt,I alt,Helsingør,60844
2008K1,I alt,I alt,Hillerød,46568
2008K1,I alt,I alt,Hørsholm,24197
2008K1,I alt,I alt,Rudersdal,53869
2008K1,I alt,I alt,Bornholm,42817
2008K1,I alt,I alt,Christiansø,96
2008K1,I alt,I alt,Region Sjælland,819427
2008K1,I alt,I alt,Greve,47773
2008K1,I alt,I alt,Køge,56637
2008K1,I alt,I alt,Lejre,26603
2008K1,I alt,I alt,Roskilde,80687
2008K1,I alt,I alt,Solrød,20759
2008K1,I alt,I alt,Faxe,35418
2008K1,I alt,I alt,Guldborgsund,63496
2008K1,I alt,I alt,Holbæk,69010
2008K1,I alt,I alt,Kalundborg,49743
2008K1,I alt,I alt,Lolland,48219
2008K1,I alt,I alt,Næstved,80732
2008K1,I alt,I alt,Odsherred,33129
2008K1,I alt,I alt,Ringsted,32092
2008K1,I alt,I alt,Slagelse,77457
2008K1,I alt,I alt,Sorø,29180
2008K1,I alt,I alt,Stevns,21892
2008K1,I alt,I alt,Vordingborg,46600
2008K1,I alt,I alt,Region Syddanmark,1194659
2008K1,I alt,I alt,Assens,42054
2008K1,I alt,I alt,Faaborg-Midtfyn,51950
2008K1,I alt,I alt,Kerteminde,23630
2008K1,I alt,I alt,Langeland,13741
2008K1,I alt,I alt,Middelfart,37274
2008K1,I alt,I alt,Nordfyns,29470
2008K1,I alt,I alt,Nyborg,31607
2008K1,I alt,I alt,Odense,186932
2008K1,I alt,I alt,Svendborg,59040
